"","EB","n","type","N","mean.utilization","sd","se","ci"
"170","3",26,"Gamma",10,0.79710085,0.0202569231796099,0.00640580156346275,0.0144909298902512
"171","3",26,"Negexp",10,0.797917088461538,0.0152487286425681,0.00482207139323629,0.0109082833417338
"172","3",28,"Empiric",10,0.734960821428571,0.0260297080629663,0.00823131643082231,0.0186205314232432
"173","3",28,"Gamma",10,0.742954575,0.0159546511654549,0.00504530369562976,0.0114132698935611
"174","3",28,"Negexp",10,0.738821892857143,0.0126527971964414,0.00400116579129476,0.0090512658543206
"175","3",30,"Empiric",10,0.69890447,0.0193293578187506,0.00611247964156361,0.0138273896036213
"176","3",30,"Gamma",10,0.689840086666667,0.0143291727481809,0.0045312822870266,0.0102504726822579
"177","3",30,"Negexp",10,0.697657693333333,0.0169293590905413,0.00535353340529873,0.012110533939076
"178","3",32,"Empiric",10,0.65730063125,0.0203083836370235,0.00642207478894886,0.0145277424838464
"179","3",32,"Gamma",10,0.6507221875,0.0133250596860146,0.00421375385654942,0.00953217346886182
"180","3",32,"Negexp",10,0.652759284375,0.0126511466891779,0.00400064385507003,0.00905008515255129
"181","3",34,"Empiric",10,0.612410629411765,0.0178853981513989,0.00565585950173856,0.0127944430836382
"182","3",34,"Gamma",10,0.610301244117647,0.0133907863433096,0.00423453845055357,0.00957919148706417
"183","3",34,"Negexp",10,0.610090323529412,0.0138246435173211,0.0043717361354616,0.0098895542126982
"184","3",36,"Empiric",10,0.576865019444444,0.0110361038157854,0.00348992245519572,0.00789475307963129
"185","3",36,"Gamma",10,0.577638969444444,0.0125805758918659,0.00397832740949003,0.00899960184533429
"186","3",36,"Negexp",10,0.568975436111111,0.0157467531820287,0.00497956058077146,0.0112645486353797
"187","3",38,"Empiric",10,0.546065168421053,0.00981367389381375,0.00310335617185849,0.00702027939288369
"188","3",38,"Gamma",10,0.539812436842105,0.0120586628824849,0.00381328402447836,0.0086262477697577
"189","3",38,"Negexp",10,0.549769310526316,0.0112261264411643,0.00355001288551193,0.00803068707698673
"190","3",40,"Empiric",10,0.5212833475,0.0162035760003748,0.00512402064008258,0.0115913399932887
"191","3",40,"Gamma",10,0.523867415,0.00806101137964743,0.00254911562042222,0.0057665001595389
"192","3",40,"Negexp",10,0.51738075,0.00567797011856888,0.0017955318061054,0.00406177513621332
"193","3",42,"Empiric",10,0.496281476190476,0.0115970248000305,0.0036673012449555,0.00829601177941486
