"","EB","n","type","N","mean.waiting.time","sd","se","ci"
"203","5",24,"Simulation",10,0.350483333333333,0.0287935360115668,0.00910531556866313,0.0205976548331893
"204","5",24,"Analytic",1,0.350087553666279,NA,NA,NA
"205","5",26,"Simulation",10,0.269281666666667,0.0303839793413782,0.00960825790982578,0.0217353894527249
"206","5",26,"Analytic",1,0.263304310172826,NA,NA,NA
"207","5",28,"Simulation",10,0.214836666666667,0.0175362513414674,0.005545449586022,0.012544678501956
"208","5",28,"Analytic",1,0.19944469985687,NA,NA,NA
"209","5",30,"Simulation",10,0.142245,0.0122841965373361,0.00388460402831357,0.00878758482728429
"210","5",30,"Analytic",1,0.151970721150137,NA,NA,NA
"211","5",32,"Simulation",10,0.128283333333333,0.024139023781748,0.00763342956432951,0.0172680173656636
"212","5",32,"Analytic",1,0.116378724077445,NA,NA,NA
"213","5",34,"Simulation",10,0.0893733333333333,0.0131288491122546,0.00415170662514042,0.00939181287989816
"214","5",34,"Analytic",1,0.0895054600417784,NA,NA,NA
"215","5",36,"Simulation",10,0.0717099999999999,0.00927694340892232,0.00293362708966813,0.00663632553387162
"216","5",36,"Analytic",1,0.0690931954118805,NA,NA,NA
"217","5",38,"Simulation",10,0.0500033333333335,0.0105917618814381,0.00334940919794947,0.00757689000828359
"218","5",38,"Analytic",1,0.053508780301153,NA,NA,NA
"219","5",40,"Simulation",10,0.0407516666666668,0.00947608246528545,0.00299660038858855,0.00677878103308947
"220","5",40,"Analytic",1,0.0415574681314925,NA,NA,NA
"221","5",42,"Simulation",10,0.031655,0.00795285898588561,0.00251491483055354,0.00568913259776412
"222","5",42,"Analytic",1,0.0323568185694136,NA,NA,NA
"223","5",44,"Simulation",10,0.0270383333333333,0.00456317824317791,0.00144300366177679,0.0032643010694324
"224","5",44,"Analytic",1,0.0252496928858261,NA,NA,NA
"225","5",46,"Simulation",10,0.0204099999999999,0.00547825217688836,0.00173237544757429,0.00391890552738592
"226","5",46,"Analytic",1,0.01974325623822,NA,NA,NA
"227","5",48,"Simulation",10,0.0142149999999998,0.00367601879722196,0.0011624592120814,0.0026296654330707
"228","5",48,"Analytic",1,0.0154656191227723,NA,NA,NA
"229","5",50,"Simulation",10,0.01224,0.00372191706875178,0.00117697351995131,0.00266249907858168
"230","5",50,"Analytic",1,0.0121346459877463,NA,NA,NA
