"","EB","n","type","N","Crowdsourcing_completion_times.queue_queueingTime.mean","sd","se","ci"
"200","3",46,"Gamma",10,14.3745783333333,0.724267334138012,0.229033441073434,0.51810963924459
"201","3",46,"Negexp",10,10.082065,0.431162798909623,0.136345648688757,0.30843528579764
"202","3",48,"Empiric",10,14.9464083333333,0.952312730926437,0.301147727450261,0.68124348871201
"203","3",48,"Gamma",10,13.5603133333333,0.869001348569043,0.274802355123608,0.621646115996686
"204","3",48,"Negexp",10,9.00609666666667,0.495304227298987,0.156628949297455,0.354319299554794
"205","3",50,"Empiric",10,13.12686,0.586921164822031,0.185600768779671,0.419858108515786
"206","3",50,"Gamma",10,12.09744,0.674894689462139,0.21342043994524,0.482790576909668
"207","3",50,"Negexp",10,8.45173833333333,0.503944133015375,0.159361127380744,0.360499915775947
"242","4",28,"Gamma",10,534.55442,196.205898500933,62.0457529622765,140.357244484822
"243","4",28,"Negexp",10,408.208403333333,116.980808444042,36.9925797211029,83.6830291864765
"244","4",30,"Empiric",10,268.975176666667,101.957161683619,32.2416854686285,72.9357597235447
"245","4",30,"Gamma",10,307.31565,111.218646256423,35.1704240450857,79.5610266722408
"246","4",30,"Negexp",10,192.283055,71.3582968502353,22.5654747997163,51.0466504501205
"247","4",32,"Empiric",10,140.548176666667,28.1209089094106,8.89261220278592,20.1164863905189
"248","4",32,"Gamma",10,136.449158333333,25.9506676560335,8.20632165951289,18.5639893222931
"249","4",32,"Negexp",10,91.53896,17.0545539853262,5.39312350719328,12.2000929716526
"250","4",34,"Empiric",10,100.417211666667,16.3387732648409,5.16677376899627,11.6880542900928
"251","4",34,"Gamma",10,92.2760466666667,8.84661584492994,2.79754556545136,6.32848773914014
"252","4",34,"Negexp",10,61.4733416666667,6.80706722557769,2.15258366187087,4.86948254922357
"253","4",36,"Empiric",10,74.5112216666667,10.4713041369773,3.31131711451919,7.49071972890588
"254","4",36,"Gamma",10,69.4963566666667,8.99699280234139,2.84509893475399,6.43606093412327
"255","4",36,"Negexp",10,50.0610983333333,6.96869737489492,2.20369560291042,4.98510579275072
"256","4",38,"Empiric",10,55.209845,4.00546185822027,1.26663825529065,2.86533480187996
"257","4",38,"Gamma",10,55.3578283333333,5.72425763735076,1.81016920476425,4.09488723243418
"258","4",38,"Negexp",10,40.90475,6.89265534807043,2.17964900264432,4.93070860371782
"259","4",40,"Empiric",10,48.571465,6.29844780553432,1.99174407891777,4.50563813458476
"260","4",40,"Gamma",10,45.00888,3.09459213676869,0.978595958143637,2.2137378562
"261","4",40,"Negexp",10,31.895125,3.71489808991744,1.17475392395481,2.65747800359967
"262","4",42,"Empiric",10,41.341965,3.74876011609872,1.18546203684692,2.68170143787861
"263","4",42,"Gamma",10,37.491985,3.91809148370191,1.23900931694065,2.80283380109101
"264","4",42,"Negexp",10,26.2709316666667,2.88107758014351,0.911076726889978,2.06099874359291
"265","4",44,"Empiric",10,35.686145,2.37671732572951,0.751584010368956,1.70020115250073
"266","4",44,"Gamma",10,33.1514566666667,3.43402081446952,1.08593273061502,2.45655050487777
"267","4",44,"Negexp",10,22.4550566666667,1.17913643445605,0.372875680497096,0.843503391469761
"268","4",46,"Empiric",10,31.4296183333333,2.14120279125995,0.677107775269151,1.53172420381147
"269","4",46,"Gamma",10,29.7735866666667,3.00754955681798,0.951070677537482,2.15147134551876
"270","4",46,"Negexp",10,18.923815,1.16331237557929,0.367871673709179,0.832183541671783
"271","4",48,"Empiric",10,28.776045,2.37387612727737,0.750685544529626,1.69816868156676
"272","4",48,"Gamma",10,25.7279483333333,2.98920161323984,0.945268548328764,2.13834601736977
"273","4",48,"Negexp",10,17.42334,1.04840449338065,0.331534610823778,0.749983394590524
"274","4",50,"Empiric",10,25.880755,2.2973477802722,0.726485156319219,1.6434236000341
