"","Shape","Rate","EB","n","type","N","serverUtilization","sd","max","se","ci"
"151","0.484071",2.00885,"1",30,"Simulation",10,0.229029483333333,0.00733603534472634,0.241049866666667,0.00231985806848337,0.00524788354629487
"152","0.484071",2.00885,"1",32,"Simulation",10,0.2152943875,0.00341659662400258,0.2209466875,0.00108042271778901,0.0024440859898963
"153","0.484071",2.00885,"1",34,"Simulation",10,0.205432223529412,0.00364374792300633,0.212742676470588,0.00115225426562078,0.00260658024033884
"154","0.484071",2.00885,"1",36,"Simulation",10,0.194295919444444,0.00548769989789127,0.200923444444444,0.00173536307928098,0.00392566401985103
"155","0.484071",2.00885,"1",38,"Simulation",10,0.179943326315789,0.00479792831591767,0.186318868421053,0.00151723815285157,0.0034322311551439
"156","0.484071",2.00885,"1",40,"Simulation",10,0.1725898425,0.00263831033315543,0.1782688,0.000834306982712882,0.0018873335169165
"157","0.484071",2.00885,"1",42,"Simulation",10,0.16500630952381,0.00362731446951749,0.170596119047619,0.00114705755133607,0.00259482445589666
"158","0.484071",2.00885,"1",44,"Simulation",10,0.1588918,0.00376209539648388,0.163732886363636,0.00118967902277233,0.00269124092279519
"159","0.484071",2.00885,"1",46,"Simulation",10,0.150939408695652,0.00556821212321211,0.160829130434783,0.00176082328043124,0.00398325899624936
"160","0.484071",2.00885,"1",48,"Simulation",10,0.14399926875,0.001807348001749,0.147129916666667,0.000571533621008082,0.00129289887454343
"161","0.484071",2.00885,"1",50,"Simulation",10,0.138123232,0.00426530610267644,0.14338626,0.00134880822022736,0.00305121617662841
"166","0.484071",2.00885,"2",14,"Simulation",10,0.982003357142857,0.0111556640875698,0.998125428571429,0.00352773073284645,0.00798028134573197
"167","0.484071",2.00885,"2",16,"Simulation",10,0.86771005,0.027179594603851,0.9076989375,0.00859494248281911,0.0194431107013478
"168","0.484071",2.00885,"2",18,"Simulation",10,0.767600522222222,0.0181108519299261,0.799972833333333,0.00572715424646228,0.0129557230010848
"169","0.484071",2.00885,"2",20,"Simulation",10,0.69108071,0.0178510544528234,0.7155988,0.00564499907066128,0.0127698750816856
"170","0.484071",2.00885,"2",22,"Simulation",10,0.629366195454545,0.0229248567458801,0.664905363636364,0.0072494762350057,0.0163994545915535
"171","0.484071",2.00885,"2",24,"Simulation",10,0.580888904166667,0.011630847629832,0.598240708333333,0.003677996962864,0.00832020717429283
"172","0.484071",2.00885,"2",26,"Simulation",10,0.5325974,0.00637619830632779,0.543889961538462,0.00201633094609038,0.00456125749227004
"173","0.484071",2.00885,"2",28,"Simulation",10,0.492973482142857,0.0142368139924323,0.513045821428571,0.00450207588402413,0.0101844032085062
"174","0.484071",2.00885,"2",30,"Simulation",10,0.45925559,0.00918130689114546,0.474618633333333,0.00290338416730193,0.00656791129041696
"175","0.484071",2.00885,"2",32,"Simulation",10,0.434668809375,0.00696923410026706,0.44569390625,0.00220386533037582,0.00498548974295229
"176","0.484071",2.00885,"2",34,"Simulation",10,0.404746423529412,0.00802106037225907,0.416623794117647,0.00253648200260567,0.00573792093050316
"177","0.484071",2.00885,"2",36,"Simulation",10,0.381674555555556,0.00943253418753805,0.403140805555556,0.00298282921400261,0.00674762847185973
"178","0.484071",2.00885,"2",38,"Simulation",10,0.364113113157895,0.00903327002223226,0.375494157894737,0.00285657079895738,0.00646201209390162
"179","0.484071",2.00885,"2",40,"Simulation",10,0.3452267375,0.00720729270237263,0.357075075,0.00227914607030075,0.00515578660799423
"180","0.484071",2.00885,"2",42,"Simulation",10,0.327583721428571,0.00552856347813584,0.337692595238095,0.00174828527797317,0.00395489606418167
"181","0.484071",2.00885,"2",44,"Simulation",10,0.318554425,0.00959687484533726,0.337303954545455,0.00303479829308419,0.00686519069634817
"182","0.484071",2.00885,"2",46,"Simulation",10,0.302148813043478,0.00499266228908488,0.309240195652174,0.00157881844215382,0.00357153544767618
"183","0.484071",2.00885,"2",48,"Simulation",10,0.287522627083333,0.00558994361088408,0.2975869375,0.00176769538022997,0.00399880476603252
"184","0.484071",2.00885,"2",50,"Simulation",10,0.279225276,0.00766058140099794,0.28970494,0.00242248854282772,0.00548004980895431
"193","0.484071",2.00885,"3",22,"Simulation",10,0.939155345454545,0.0193191596922105,0.977092409090909,0.00610925471079027,0.0138200943033729
"194","0.484071",2.00885,"3",24,"Simulation",10,0.869760541666667,0.0217517267193202,0.901071541666667,0.0068784999474594,0.0155602479254524
"195","0.484071",2.00885,"3",26,"Simulation",10,0.79710085,0.0202569231796099,0.833419115384615,0.00640580156346275,0.0144909298902512
"196","0.484071",2.00885,"3",28,"Simulation",10,0.742954575,0.0159546511654549,0.765338857142857,0.00504530369562976,0.0114132698935611
"197","0.484071",2.00885,"3",30,"Simulation",10,0.689840086666667,0.0143291727481809,0.7097216,0.0045312822870266,0.0102504726822579
"198","0.484071",2.00885,"3",32,"Simulation",10,0.6507221875,0.0133250596860146,0.66995578125,0.00421375385654942,0.00953217346886182
"199","0.484071",2.00885,"3",34,"Simulation",10,0.610301244117647,0.0133907863433096,0.635801882352941,0.00423453845055357,0.00957919148706417
"200","0.484071",2.00885,"3",36,"Simulation",10,0.577638969444444,0.0125805758918659,0.6039515,0.00397832740949003,0.00899960184533429
"201","0.484071",2.00885,"3",38,"Simulation",10,0.539812436842105,0.0120586628824849,0.56043152631579,0.00381328402447836,0.0086262477697577
"202","0.484071",2.00885,"3",40,"Simulation",10,0.523867415,0.00806101137964743,0.536576875,0.00254911562042222,0.0057665001595389
"203","0.484071",2.00885,"3",42,"Simulation",10,0.494323457142857,0.00986522482789867,0.503535238095238,0.00311965800858024,0.00705715670959057
"204","0.484071",2.00885,"3",44,"Simulation",10,0.470003990909091,0.00433339295380683,0.476589954545454,0.00137033917305544,0.00309992257579033
"205","0.484071",2.00885,"3",46,"Simulation",10,0.4519314,0.0116074436337368,0.476857652173913,0.00367059596946295,0.00830346496405883
"206","0.484071",2.00885,"3",48,"Simulation",10,0.435810447916667,0.00933626610090516,0.449411770833333,0.00295238657202797,0.00667876243126231
"207","0.484071",2.00885,"3",50,"Simulation",10,0.416998124,0.00919205346534494,0.4360489,0.00290678253245336,0.00657559892648608
"219","0.484071",2.00885,"4",28,"Simulation",10,0.969047071428571,0.0169032269689381,0.989189607142857,0.00534526970286286,0.0120918401454195
"220","0.484071",2.00885,"4",30,"Simulation",10,0.925371636666667,0.0151679936895681,0.946049,0.00479654075940961,0.010850529035552
"221","0.484071",2.00885,"4",32,"Simulation",10,0.869766453125,0.0180562961562803,0.88588809375,0.00570990219603892,0.0129166961516466
"222","0.484071",2.00885,"4",34,"Simulation",10,0.814608947058824,0.0185717054964343,0.838431970588235,0.00587288894026006,0.0132853977825277
"223","0.484071",2.00885,"4",36,"Simulation",10,0.768468266666667,0.0210322566959292,0.805941305555556,0.00665098354924636,0.0150455700755807
"224","0.484071",2.00885,"4",38,"Simulation",10,0.729316997368421,0.0158997150740185,0.752100605263158,0.00502793137816113,0.011373970981165
"225","0.484071",2.00885,"4",40,"Simulation",10,0.6957570325,0.016417023148046,0.72199,0.00519151855475332,0.011744030884435
"226","0.484071",2.00885,"4",42,"Simulation",10,0.653896821428571,0.0144175231437498,0.677367857142857,0.00455922113524405,0.0103136747478733
"227","0.484071",2.00885,"4",44,"Simulation",10,0.625448675,0.0120953113520987,0.649486068181818,0.00382487328815226,0.00865246450558916
"228","0.484071",2.00885,"4",46,"Simulation",10,0.599550773913043,0.0175917357429391,0.619678543478261,0.0055629952943482,0.0125843696517225
"229","0.484071",2.00885,"4",48,"Simulation",10,0.578590814583333,0.013459680101408,0.601223229166667,0.00425632456976954,0.00962847511269816
"230","0.484071",2.00885,"4",50,"Simulation",10,0.545817124,0.0150778299436514,0.5649349,0.00476802847946267,0.0107860297772423
"246","0.484071",2.00885,"5",36,"Simulation",10,0.958582858333333,0.0206887748898232,0.986784388888889,0.00654236506503404,0.0147998579935075
"247","0.484071",2.00885,"5",38,"Simulation",10,0.918429336842105,0.021044671934221,0.960792105263158,0.00665490959231596,0.015054451402032
"248","0.484071",2.00885,"5",40,"Simulation",10,0.86238434,0.0118554207406019,0.887099725,0.00374901321599022,0.00848085709997742
"249","0.484071",2.00885,"5",42,"Simulation",10,0.822332559523809,0.0236486938751309,0.880446523809524,0.00747837363334872,0.0169172564807611
"250","0.484071",2.00885,"5",44,"Simulation",10,0.788964056818182,0.0155890642990881,0.819822340909091,0.00492969497759347,0.0111517448039734
"251","0.484071",2.00885,"5",46,"Simulation",10,0.753096789130435,0.0200036954559569,0.78810997826087,0.00632572392611841,0.0143097816893528
"252","0.484071",2.00885,"5",48,"Simulation",10,0.7221458625,0.0188712545312151,0.745263479166667,0.00596761466234128,0.0134996822532349
"253","0.484071",2.00885,"5",50,"Simulation",10,0.691806242,0.0227936289007734,0.72747874,0.00720797834670841,0.0163055798463008
"273","0.484071",2.00885,"6",44,"Simulation",10,0.951634811363636,0.0227262919734196,0.988866318181818,0.00718668454060088,0.0162574099102914
"274","0.484071",2.00885,"6",46,"Simulation",10,0.906307532608696,0.0198550662292179,0.932313913043478,0.00627872323778194,0.014203458745576
"275","0.484071",2.00885,"6",48,"Simulation",10,0.859895829166667,0.0166831965294045,0.8862995,0.00527568996851345,0.0119344398509753
"276","0.484071",2.00885,"6",50,"Simulation",10,0.830588114,0.00827317708814079,0.84858278,0.00261620830844445,0.00591827436431979
"277","1",0.497797,"1",6,"Simulation",10,0.137559466666667,0.0055312871075968,0.145931,0.00174914656523307,0.00395684443132588
"278","1",0.497797,"1",8,"Simulation",10,0.1030788475,0.00467898176907544,0.110534875,0.00147962395206824,0.00334714192141895
"279","1",0.497797,"1",10,"Simulation",10,0.086507732,0.00454632338109427,0.0969948,0.00143767368639356,0.00325224382744169
"280","1",0.497797,"1",12,"Simulation",10,0.0693734075,0.00277202937087071,0.0744456833333333,0.000876592655283507,0.00198299035400588
"281","1",0.497797,"1",14,"Simulation",10,0.0592836028571429,0.00151531328901226,0.0622676785714286,0.000479184136199973,0.00108398982600404
"282","1",0.497797,"1",16,"Simulation",10,0.05191447,0.0030926168409081,0.056305375,0.000977971314746419,0.00221232481466479
