"","Shape","Rate","EB","n","type","N","Crowdsourcing_completion_times.queue_queueingTime.mean","sd","se","ci"
"380","1",0.497797,"5",28,"Simulation",10,17.3297333333333,2.1448452139611,0.678259610462826,1.5343298360452
"381","1",0.497797,"5",30,"Simulation",10,15.972605,0.925941799795227,0.292808506810855,0.662378861010422
"382","1",0.497797,"5",32,"Simulation",10,14.6308683333333,1.28725519167124,0.407065833555774,0.920846891108616
"383","1",0.497797,"5",34,"Simulation",10,12.912705,0.605923040943563,0.191609689615712,0.433451231825724
"384","1",0.497797,"5",36,"Simulation",10,11.7535433333333,0.892809295412693,0.282331088967423,0.638677295188273
"385","1",0.497797,"5",38,"Simulation",10,11.4146616666667,0.725818226404425,0.229523876270175,0.519219080737785
"386","1",0.497797,"5",40,"Simulation",10,10.2781066666667,1.12219434421369,0.354869010507424,0.802769473974482
"387","1",0.497797,"5",42,"Simulation",10,9.44436,0.519927299476322,0.164415448404565,0.371933584283065
"388","1",0.497797,"5",44,"Simulation",10,8.686785,0.721398506950387,0.228126238260803,0.516057403903886
"389","1",0.497797,"5",46,"Simulation",10,8.87162,1.02242264891401,0.323318430191096,0.731397102721459
"390","1",0.497797,"5",48,"Simulation",10,8.126675,0.857712457294487,0.271232494255048,0.61357052966268
"391","1",0.497797,"5",50,"Simulation",10,7.66566833333333,0.678455074772507,0.214546332638097,0.485337523129356
"392","1",0.497797,"6",6,"Simulation",10,537.841396666667,186.645249974607,59.0224104371242,133.517968535956
"393","1",0.497797,"6",8,"Simulation",10,207.028651666667,45.2437334451382,14.3073247536174,32.3654171718756
"394","1",0.497797,"6",10,"Simulation",10,118.768091666667,17.1814286707958,5.43324480554341,12.2908536540962
"395","1",0.497797,"6",12,"Simulation",10,80.62099,10.7993640120216,3.41505875592424,7.72539962609074
"396","1",0.497797,"6",14,"Simulation",10,62.737595,7.30377557134719,2.30965663241548,5.22480629462305
"397","1",0.497797,"6",16,"Simulation",10,48.91335,4.65592195925565,1.47233179992415,3.330645927214
"398","1",0.497797,"6",18,"Simulation",10,41.4684666666667,3.98805821541862,1.26113474020693,2.85288498581275
"399","1",0.497797,"6",20,"Simulation",10,35.8935733333333,4.84866171463583,1.53328146219066,3.46852364228031
"400","1",0.497797,"6",22,"Simulation",10,30.7588033333333,3.98202147081102,1.25922575394565,2.84856655886813
"401","1",0.497797,"6",24,"Simulation",10,28.30012,2.89748314746854,0.916264622795413,2.07273457947524
"402","1",0.497797,"6",26,"Simulation",10,24.6467766666667,1.84114539616706,0.582221295542095,1.3170760740442
"403","1",0.497797,"6",28,"Simulation",10,21.2265116666667,1.72931011745978,0.546855875194622,1.2370739350898
"404","1",0.497797,"6",30,"Simulation",10,19.4011733333333,1.50193172972445,0.474952515600569,1.07441723515485
"405","1",0.497797,"6",32,"Simulation",10,18.04527,1.355882521742,0.428767700831748,0.969939925613056
"406","1",0.497797,"6",34,"Simulation",10,15.9449016666667,1.42391725415996,0.450282172275835,1.01860904129411
"407","1",0.497797,"6",36,"Simulation",10,15.241275,2.03813296866971,0.644514235527688,1.45799249442437
"408","1",0.497797,"6",38,"Simulation",10,13.6607433333333,1.31485334642497,0.415793136379731,0.94058942170374
"409","1",0.497797,"6",40,"Simulation",10,12.18649,1.28620326140232,0.406733183996828,0.920094385526144
"410","1",0.497797,"6",42,"Simulation",10,12.08099,1.33669152759738,0.422698975625754,0.956211515419263
"411","1",0.497797,"6",44,"Simulation",10,11.85588,1.21077641077997,0.382881119526836,0.866137267037828
"412","1",0.497797,"6",46,"Simulation",10,10.1764316666667,0.940123487536559,0.297293150243645,0.672523829274503
"413","1",0.497797,"6",48,"Simulation",10,10.2649,1.20550586582184,0.381214426869034,0.862366946303798
"414","1",0.497797,"6",50,"Simulation",10,8.89043833333333,0.766119031062519,0.242268109695885,0.548048539666127
"415","1",2.00885,"1",6,"Simulation",10,39.1797293333333,3.4652453991836,1.09580681128395,2.47888722718906
"416","1",2.00885,"1",8,"Simulation",10,21.505727,0.509106579038464,0.160993636153808,0.364192907190265
"417","1",2.00885,"1",10,"Simulation",10,14.8309115,0.611338507223173,0.193322210419253,0.437325223027894
"418","1",2.00885,"1",12,"Simulation",10,11.3597141666667,0.817787284305497,0.258607045992904,0.585009781442932
"419","1",2.00885,"1",14,"Simulation",10,8.788642,0.458597781107708,0.145021351819969,0.328061089778222
"420","1",2.00885,"1",16,"Simulation",10,7.53612366666667,0.339059935912863,0.107220166079537,0.242548866693237
"421","1",2.00885,"1",18,"Simulation",10,6.18413233333333,0.292515690385539,0.092501583295492,0.209253119222072
"422","1",2.00885,"1",20,"Simulation",10,5.4067005,0.293005982759306,0.0926566273575436,0.209603853257591
"423","1",2.00885,"1",22,"Simulation",10,4.74729283333333,0.248877373398099,0.0787019358018194,0.17803614780017
"424","1",2.00885,"1",24,"Simulation",10,4.10113433333333,0.18816249108184,0.0595022042029734,0.134603337440038
"425","1",2.00885,"1",26,"Simulation",10,3.71534833333333,0.198100852161621,0.0626449899251014,0.141712812672489
"426","1",2.00885,"1",28,"Simulation",10,3.44032766666667,0.166227496619008,0.0525657499064003,0.118911987668622
"427","1",2.00885,"1",30,"Simulation",10,3.09911366666667,0.0990923894182459,0.0313357649350025,0.0708864250994766
"428","1",2.00885,"1",32,"Simulation",10,2.74442383333333,0.0461222108598317,0.0145851237039621,0.0329938420572158
"429","1",2.00885,"1",34,"Simulation",10,2.631133,0.131186807860648,0.041484911180653,0.0938453889753615
