page.load.time,qoe,tdch
4.6,2.546,16
4.7,2.5289,16
4.8,2.5121,16
4.9,2.4957,16
5,2.4796,16
5.1,2.4638,16
5.2,2.4483,16
5.3,2.4331,16
5.4,2.4182,16
5.5,2.4036,16
5.6,2.3892,16
5.7,2.3751,16
5.8,2.3612,16
5.9,2.3476,16
6,2.3342,16
6.1,2.321,16
6.2,2.308,16
6.3,2.2953,16
6.4,2.2827,16
6.5,2.2703,16
6.6,2.2582,16
6.7,2.2462,16
6.8,2.2343,16
6.9,2.2227,16
7,2.2112,16
7.1,2.1999,16
7.2,2.1887,16
7.3,2.1777,16
7.4,2.1669,16
7.5,2.1561,16
7.6,2.1456,16
7.7,2.1351,16
7.8,2.1248,16
7.9,2.1147,16
8,2.1046,16
8.1,2.0947,16
8.2,2.0849,16
8.3,2.0753,16
8.4,2.0657,16
8.5,2.0562,16
8.6,2.0469,16
8.7,2.0377,16
8.8,2.0286,16
8.9,2.0195,16
9,2.0106,16
9.1,2.0018,16
9.2,1.9931,16
9.3,1.9844,16
9.4,1.9759,16
9.5,1.9674,16
9.6,1.9591,16
9.7,1.9508,16
9.8,1.9426,16
9.9,1.9345,16
10,1.9265,16
10.1,1.9185,16
10.2,1.9107,16
10.3,1.9029,16
10.4,1.8952,16
10.5,1.8875,16
10.6,1.88,16
10.7,1.8725,16
10.8,1.865,16
10.9,1.8577,16
11,1.8504,16
11.1,1.8431,16
11.2,1.836,16
11.3,1.8289,16
11.4,1.8218,16
11.5,1.8149,16
11.6,1.8079,16
11.7,1.8011,16
11.8,1.7943,16
11.9,1.7876,16
12,1.7809,16
12.1,1.7742,16
12.2,1.7677,16
12.3,1.7611,16
12.4,1.7547,16
12.5,1.7483,16
12.6,1.7419,16
12.7,1.7356,16
12.8,1.7293,16
12.9,1.7231,16
13,1.7169,16
13.1,1.7108,16
13.2,1.7047,16
13.3,1.6987,16
13.4,1.6927,16
13.5,1.6868,16
13.6,1.6809,16
13.7,1.675,16
13.8,1.6692,16
13.9,1.6634,16
14,1.6577,16
14.1,1.652,16
14.2,1.6464,16
14.3,1.6408,16
14.4,1.6352,16
14.5,1.6297,16
14.6,1.6242,16
14.7,1.6187,16
14.8,1.6133,16
14.9,1.6079,16
15,1.6026,16
15.1,1.5973,16
15.2,1.592,16
15.3,1.5868,16
15.4,1.5816,16
15.5,1.5764,16
15.6,1.5713,16
15.7,1.5661,16
15.8,1.5611,16
15.9,1.556,16
16,1.551,16
16.1,1.546,16
16.2,1.5411,16
16.3,1.5362,16
16.4,1.5313,16
16.5,1.5264,16
16.6,1.5216,16
16.7,1.5168,16
16.8,1.512,16
16.9,1.5073,16
17,1.5026,16
17.1,1.4979,16
17.2,1.4932,16
17.3,1.4886,16
17.4,1.484,16
17.5,1.4794,16
17.6,1.4749,16
17.7,1.4703,16
17.8,1.4658,16
17.9,1.4614,16
18,1.4569,16
18.1,1.4525,16
18.2,1.4481,16
18.3,1.4437,16
18.4,1.4393,16
18.5,1.435,16
18.6,1.4307,16
18.7,1.4264,16
18.8,1.4221,16
18.9,1.4179,16
