page.load.time,qoe,tdch
2.2,2.6906,16
2.3,2.6702,16
2.4,2.6502,16
2.5,2.6307,16
2.6,2.6117,16
2.7,2.5931,16
2.8,2.5749,16
2.9,2.5571,16
3,2.5398,16
3.1,2.5228,16
3.2,2.5061,16
3.3,2.4898,16
3.4,2.4738,16
3.5,2.4581,16
3.6,2.4428,16
3.7,2.4277,16
3.8,2.4129,16
3.9,2.3983,16
4,2.3841,16
4.1,2.37,16
4.2,2.3563,16
4.3,2.3427,16
4.4,2.3294,16
4.5,2.3163,16
4.6,2.3034,16
4.7,2.2907,16
4.8,2.2782,16
4.9,2.2659,16
5,2.2538,16
5.1,2.2419,16
5.2,2.2301,16
5.3,2.2185,16
5.4,2.2071,16
5.5,2.1958,16
5.6,2.1847,16
5.7,2.1738,16
5.8,2.163,16
5.9,2.1523,16
6,2.1418,16
6.1,2.1314,16
6.2,2.1211,16
6.3,2.111,16
6.4,2.101,16
6.5,2.0912,16
6.6,2.0814,16
6.7,2.0718,16
6.8,2.0623,16
6.9,2.0528,16
7,2.0436,16
7.1,2.0344,16
7.2,2.0253,16
7.3,2.0163,16
7.4,2.0074,16
7.5,1.9986,16
7.6,1.9899,16
7.7,1.9813,16
7.8,1.9728,16
7.9,1.9644,16
8,1.9561,16
8.1,1.9478,16
8.2,1.9397,16
8.3,1.9316,16
8.4,1.9236,16
8.5,1.9157,16
8.6,1.9078,16
8.7,1.9001,16
8.8,1.8924,16
8.9,1.8848,16
9,1.8772,16
9.1,1.8698,16
9.2,1.8623,16
9.3,1.855,16
9.4,1.8477,16
9.5,1.8405,16
9.6,1.8334,16
9.7,1.8263,16
9.8,1.8193,16
9.9,1.8124,16
10,1.8055,16
10.1,1.7986,16
10.2,1.7918,16
10.3,1.7851,16
10.4,1.7785,16
10.5,1.7719,16
10.6,1.7653,16
10.7,1.7588,16
10.8,1.7523,16
10.9,1.7459,16
11,1.7396,16
11.1,1.7333,16
11.2,1.7271,16
11.3,1.7209,16
11.4,1.7147,16
11.5,1.7086,16
11.6,1.7025,16
11.7,1.6965,16
11.8,1.6906,16
11.9,1.6846,16
12,1.6788,16
12.1,1.6729,16
12.2,1.6671,16
12.3,1.6614,16
12.4,1.6557,16
12.5,1.65,16
12.6,1.6444,16
12.7,1.6388,16
12.8,1.6332,16
12.9,1.6277,16
13,1.6222,16
13.1,1.6168,16
13.2,1.6114,16
13.3,1.606,16
13.4,1.6007,16
13.5,1.5954,16
13.6,1.5901,16
13.7,1.5849,16
13.8,1.5797,16
13.9,1.5745,16
14,1.5694,16
14.1,1.5643,16
14.2,1.5592,16
14.3,1.5542,16
14.4,1.5492,16
14.5,1.5442,16
14.6,1.5393,16
14.7,1.5344,16
14.8,1.5295,16
14.9,1.5247,16
15,1.5199,16
15.1,1.5151,16
15.2,1.5103,16
15.3,1.5056,16
15.4,1.5009,16
15.5,1.4962,16
15.6,1.4915,16
15.7,1.4869,16
15.8,1.4823,16
15.9,1.4778,16
16,1.4732,16
16.1,1.4687,16
16.2,1.4642,16
16.3,1.4597,16
16.4,1.4553,16
16.5,1.4509,16
16.6,1.4465,16
16.7,1.4421,16
16.8,1.4378,16
16.9,1.4334,16
17,1.4291,16
17.1,1.4249,16
17.2,1.4206,16
17.3,1.4164,16
17.4,1.4122,16
17.5,1.408,16
17.6,1.4038,16
17.7,1.3997,16
17.8,1.3955,16
17.9,1.3914,16
18,1.3874,16
18.1,1.3833,16
18.2,1.3793,16
18.3,1.3752,16
18.4,1.3712,16
18.5,1.3673,16
18.6,1.3633,16
18.7,1.3594,16
18.8,1.3554,16
18.9,1.3515,16
19,1.3477,16
19.1,1.3438,16
19.2,1.34,16
19.3,1.3361,16
19.4,1.3323,16
19.5,1.3285,16
19.6,1.3248,16
19.7,1.321,16
19.8,1.3173,16
19.9,1.3135,16
20,1.3098,16
20.1,1.3061,16
20.2,1.3025,16
20.3,1.2988,16
20.4,1.2952,16
20.5,1.2916,16
20.6,1.288,16
20.7,1.2844,16
20.8,1.2808,16
20.9,1.2773,16
21,1.2737,16
21.1,1.2702,16
21.2,1.2667,16
21.3,1.2632,16
21.4,1.2597,16
21.5,1.2563,16
21.6,1.2528,16
21.7,1.2494,16
21.8,1.246,16
21.9,1.2426,16
22,1.2392,16
22.1,1.2358,16
22.2,1.2324,16
22.3,1.2291,16
22.4,1.2257,16
22.5,1.2224,16
22.6,1.2191,16
22.7,1.2158,16
22.8,1.2126,16
22.9,1.2093,16
23,1.206,16
23.1,1.2028,16
23.2,1.1996,16
23.3,1.1964,16
23.4,1.1932,16
23.5,1.19,16
23.6,1.1868,16
23.7,1.1836,16
23.8,1.1805,16
23.9,1.1774,16
24,1.1742,16
24.1,1.1711,16
24.2,1.168,16
24.3,1.1649,16
24.4,1.1619,16
24.5,1.1588,16
24.6,1.1557,16
24.7,1.1527,16
24.8,1.1497,16
24.9,1.1466,16
25,1.1436,16
