"","mechanism","parameter","connected.count","relative.disconnected.time","waiting.time"
"202","Intervall",2,11,0.0019198015791677,125.81222802429
"203","Intervall",2,10,0.0016672433152762,66.563790851127
"204","Intervall",2,11,0.0042156434735641,66.025459860086
"205","Intervall",2,13,0.001661631790634,118.26530832106
"206","Intervall",2,10,0.0025272137875433,171.88117382893
"207","Intervall",2,10,0.0033804928787778,112.84617914353
"208","Intervall",2,11,0.0027124740502712,134.28053337087
"209","Intervall",2,12,0.0018316176089109,134.75228985016
"210","Intervall",2,9,0.0036095079712174,133.31492437464
"211","Intervall",2,13,0.0029946789723717,114.54402028817
"212","Intervall",2,11,0.0028654376939001,120.68646345485
"213","Intervall",2,5,0.0023435758718292,71.012042018902
"214","Intervall",2,7,0.0024334388096094,146.74285278482
"215","Intervall",2,6,0.001164818993169,87.071225847143
"216","Intervall",2,15,0.0056554399356758,127.51729427756
"217","Intervall",2,14,0.0025705403211791,82.791436106387
"218","Intervall",2,4,0.0023141147158474,382.95982243482
"219","Intervall",2,7,0.0029196714984525,220.080745852
"220","Intervall",2,13,0.0030035374084559,57.694308280836
"221","Intervall",2,8,0.0014742619160726,199.31836494122
"222","Intervall",2,16,0.0043297724909587,101.95866775274
"223","Intervall",2,24,0.0032090308368246,64.161632896333
"224","Intervall",2,7,0.0099073206272616,80.901977050413
"225","Intervall",2,11,0.0036569612336644,103.71123167825
"226","Intervall",2,8,0.0016159917478995,200.74041983279
"227","Intervall",2,24,0.0050313283657739,75.751729781671
"228","Intervall",2,22,0.0059360013424616,78.771009043389
"229","Intervall",2,12,0.0048035556011383,103.87936524953
"230","Intervall",2,13,0.003396643215843,103.40406100715
"231","Intervall",2,14,0.0024606100422047,96.219821698787
"232","Intervall",2,12,0.0026034949594316,108.5009819334
"233","Intervall",2,15,0.0043164983518889,98.392055408014
"234","Intervall",2,13,0.0032611571614914,100.19154163877
"235","Intervall",2,6,0.001436268512302,347.85725071788
"236","Intervall",2,17,0.0087706035537472,177.79128276554
"237","Intervall",2,11,0.0037306155316109,138.26660782509
"238","Intervall",2,7,0.0030653211849821,186.34506976795
"239","Intervall",2,16,0.0027736365080526,63.298130808919
"240","Intervall",2,21,0.0030510663264515,91.241675819187
"241","Intervall",2,15,0.0044252321579977,60.411021257351
"242","Intervall",2,7,0.003871827249381,130.32546078807
"243","Intervall",2,6,0.003644442459337,192.74456563082
"244","Intervall",2,14,0.0029197893851436,234.19550384041
"245","Intervall",2,14,0.003012682491982,74.744127165181
"246","Intervall",2,10,0.0037233541637244,125.26313761536
"247","Intervall",2,10,0.002543519976103,144.00236362847
"248","Intervall",2,19,0.0043603599407166,61.120818996556
"249","Intervall",2,4,0.0013399145292129,135.50317889486
"250","Intervall",2,7,0.0035496910836079,202.6481507404
"251","Intervall",2,18,0.0050393734453623,99.703551171742
"252","Intervall",2,18,0.0021203783018532,92.939874629143
"253","Intervall",2,22,0.0047967413768987,97.655990265062
"254","Intervall",2,10,0.0018170186592148,130.66305935444
"255","Intervall",2,9,0.0083043295295251,112.53865776737
"256","Intervall",2,18,0.0045149822578627,88.259486684606
"257","Intervall",2,22,0.0037676110286254,79.96695860102
"258","Intervall",2,16,0.0037250907598175,123.49109685164
"259","Intervall",2,12,0.0020692438527729,122.9020941392
"260","Intervall",2,17,0.0038759588103163,91.617586433345
"261","Intervall",2,17,0.0061135333109346,53.113229415541
"262","Intervall",2,17,0.0066374720090353,184.15793962879
"263","Intervall",2,17,0.0059876020852664,132.76183085883
"264","Intervall",2,5,0.0019453260031302,124.30729867017
"265","Intervall",2,10,0.0041831651219144,104.02684869522
"266","Intervall",2,13,0.0054217006927757,350.6296811889
"267","Intervall",2,9,0.0024491694599601,116.17323102197
"268","Intervall",2,8,0.0025070099346294,151.78588340949
"269","Intervall",2,8,0.0022510768415258,75.207837910662
"270","Intervall",2,29,0.0078075798337852,77.961503953799
