"","Type","variable","value"
"42962","Measurement","Upload",12855422.452151
"42963","Measurement","Upload",9920843.61717509
"42964","Measurement","Upload",12250061.5869762
"42965","Measurement","Upload",12119810.4476842
"42966","Measurement","Upload",12049207.7016828
"42967","Measurement","Upload",6573155.64046265
"42968","Measurement","Upload",13398123.280635
"42969","Measurement","Upload",13874539.8572078
"42970","Measurement","Upload",7325957.43057253
"42971","Measurement","Upload",13685839.5879853
"42972","Measurement","Upload",6290745.56773119
"42973","Measurement","Upload",12747739.6638051
"42974","Measurement","Upload",4388324.56201525
"42975","Measurement","Upload",5609891.75080743
"42976","Measurement","Upload",6232962.38685638
"42977","Measurement","Upload",6439340.92784021
"42978","Measurement","Upload",13132860.2938947
"42979","Measurement","Upload",12393469.5055969
"42980","Measurement","Upload",16792447.4154977
"42981","Measurement","Upload",8611945.09209549
"42982","Measurement","Upload",15029574.4625147
"42983","Measurement","Upload",13287463.2006352
"42984","Measurement","Upload",12884906.9211668
"42985","Measurement","Upload",13247677.2056071
"42986","Measurement","Upload",16621344.9224379
"42987","Measurement","Upload",14972775.3568835
"42988","Measurement","Upload",326445.538506544
"42989","Measurement","Upload",11487953.0537513
"42990","Measurement","Upload",13044024.3358466
"42991","Measurement","Upload",10871847.8691669
"42992","Measurement","Upload",15763087.7802739
"42993","Measurement","Upload",12202470.6720451
"42994","Measurement","Upload",16191335.945422
"42995","Measurement","Upload",9872953.0412625
"42996","Measurement","Upload",15570501.9503556
"42997","Measurement","Upload",14652377.6770455
"42998","Measurement","Upload",5829171.50873977
"42999","Measurement","Upload",9582699.70830107
"43000","Measurement","Upload",6154544.19155851
"43001","Measurement","Upload",731550.842438857
"43002","Measurement","Upload",11526790.5736041
"43003","Measurement","Upload",11528691.5010719
"43004","Measurement","Upload",16381440.3413621
"43005","Measurement","Upload",6777454.60128747
"43006","Measurement","Upload",14891510.1593282
"43007","Measurement","Upload",15415713.1831529
"43008","Measurement","Upload",11875472.1166911
"43009","Measurement","Upload",10503748.9332114
"43010","Measurement","Upload",12658822.6098457
"43011","Measurement","Upload",12490422.8639459
"43012","Measurement","Upload",10483596.3840294
