"","type","variable","image.size"
"937","Measurement","size",2781245
"938","Measurement","size",3207606
"939","Measurement","size",3242091
"940","Measurement","size",3471476
"941","Measurement","size",1790759
"942","Measurement","size",1239400
"943","Measurement","size",1312901
"944","Measurement","size",1470639
"945","Measurement","size",1398940
"946","Measurement","size",1338006
"947","Measurement","size",1443871
"948","Measurement","size",1358838
"949","Measurement","size",1373419
"950","Measurement","size",1348092
"951","Measurement","size",1294545
"952","Measurement","size",1205113
"953","Measurement","size",1301434
"954","Measurement","size",1049645
"955","Measurement","size",1561974
"956","Measurement","size",1553533
"957","Measurement","size",1269274
"958","Measurement","size",1197873
"959","Measurement","size",1233086
"960","Measurement","size",2504659
"961","Measurement","size",1749380
"962","Measurement","size",1690064
"963","Measurement","size",1712155
"964","Measurement","size",1578564
"965","Measurement","size",1722562
"966","Measurement","size",1656405
"967","Measurement","size",1443951
"968","Measurement","size",1521036
"969","Measurement","size",1434303
"970","Measurement","size",1436393
"971","Measurement","size",1299886
"972","Measurement","size",1209602
"973","Measurement","size",1218980
"974","Measurement","size",3097255
"975","Measurement","size",2878476
"976","Measurement","size",2786838
"977","Measurement","size",2730039
"978","Measurement","size",3380508
"979","Measurement","size",3395763
"980","Measurement","size",3569367
"981","Measurement","size",3591339
"982","Measurement","size",3458186
"983","Measurement","size",3334699
"984","Measurement","size",3081295
"985","Measurement","size",3349475
"986","Measurement","size",3816622
"987","Measurement","size",3775172
"988","Measurement","size",3668100
"989","Measurement","size",3578152
"990","Measurement","size",3848797
"991","Measurement","size",3928418
"992","Measurement","size",3828795
"993","Measurement","size",3722589
"994","Measurement","size",3493955
"995","Measurement","size",2968010
"996","Measurement","size",2919648
"997","Measurement","size",3070339
"998","Measurement","size",3509394
"999","Measurement","size",3855097
